"","order","biol.batch","time.point","condition","label","Id","exp.batch"
"1358BZU_0014_A1_10_0_Ikaros",56,10,"0h","Ikaros","1358BZU_0014_A1_10_0_Ikaros","1358BZU_0014",1
"1358BZU_0001QC_K1",57,NA,NA,"QC","1358BZU_0001QC_K1",NA,1
"1358BZU_0022_A1_10_18_Ikaros",58,10,"18h","Ikaros","1358BZU_0022_A1_10_18_Ikaros","1358BZU_0022",1
"1358BZU_0021_A1_10_18_Control",59,10,"18h","Control","1358BZU_0021_A1_10_18_Control","1358BZU_0021",1
"1358BZU_0019_A1_10_12_Control",60,10,"12h","Control","1358BZU_0019_A1_10_12_Control","1358BZU_0019",1
"1358BZU_0020_A1_10_12_Ikaros",61,10,"12h","Ikaros","1358BZU_0020_A1_10_12_Ikaros","1358BZU_0020",1
"1358BZU_0017_A1_10_6_Control",62,10,"6h","Control","1358BZU_0017_A1_10_6_Control","1358BZU_0017",1
"1358BZU_0018_A1_10_6_Ikaros",63,10,"6h","Ikaros","1358BZU_0018_A1_10_6_Ikaros","1358BZU_0018",1
"1358BZU_0001QC_L1",64,NA,NA,"QC","1358BZU_0001QC_L1",NA,1
"1358BZU_0001Blank_A3",65,NA,NA,"blank","1358BZU_0001Blank_A3",NA,1
"1358BZU_0001Blank_B3",66,NA,NA,"blank","1358BZU_0001Blank_B3",NA,1
